Sample	Group	Reads	Markers	Retained	Min_depth	Max_depth	Median_depth	Average_depth
SRR1519861	M	3929067	669084	72938	0	32173	31	38
SRR1519811	F	6018684	963531	72938	0	60206	44	57
SRR1519815	F	4844480	818700	72938	0	44043	36	46
SRR1519851	M	3462244	502028	72938	0	31738	29	34
SRR1519821	F	3518348	604081	72938	0	31042	26	34
SRR1519827	F	3815684	622309	72938	0	63515	24	37
SRR1519813	F	4731003	758814	72938	0	65133	35	46
SRR1519840	M	6928277	909117	72938	0	33752	62	70
SRR1519830	F	7547724	1165312	72938	0	35358	54	72
SRR1519825	F	5948867	945346	72938	0	51785	42	57
SRR1519858	M	7239395	1065034	72938	0	57631	60	72
SRR1519857	M	2044836	347647	72938	0	46463	16	20
SRR1519834	M	7266673	1084439	72938	0	60604	60	71
SRR1519816	F	4197940	725001	72938	0	39881	31	40
SRR1519848	M	5491861	763719	72938	0	58018	47	54
SRR1519847	M	4941625	704304	72938	0	39064	42	48
SRR1519814	F	6599702	1027460	72938	0	60445	48	64
SRR1519835	M	7110596	1053944	72938	0	60699	59	70
SRR1519833	F	5486155	1195764	72938	0	65462	36	47
SRR1519841	M	1687422	323649	72938	0	37802	13	16
SRR1519807	F	5816740	877877	72938	0	54503	42	57
SRR1519808	F	5445430	858995	72938	0	52109	37	51
SRR1519856	M	3215203	487743	72938	0	25756	27	31
SRR1519850	M	2008471	369782	72938	0	43169	15	19
SRR1519806	F	6138790	926683	72938	0	64320	45	61
SRR1519853	M	3337073	500353	72938	0	27276	28	33
SRR1519828	F	7416229	1146434	72938	0	63566	52	70
SRR1519845	M	5328162	748529	72938	0	51134	45	53
SRR1519844	M	7171487	1092094	72938	0	61769	59	70
SRR1519843	M	3772122	549495	72938	0	32868	32	38
SRR1519860	M	6068959	962137	72938	0	51176	50	60
SRR1519846	M	3633323	522372	72938	0	30307	31	36
SRR1519804	F	4536572	812765	72938	0	65449	30	42
SRR1519829	F	6285597	944099	72938	0	64723	45	61
SRR1519864	M	5366128	881269	72938	0	60907	42	51
SRR1519832	F	5924858	938010	72938	0	52319	43	58
SRR1519817	F	4841940	758041	72938	0	46411	36	47
SRR1519837	M	5500918	914664	72938	0	48628	44	53
SRR1519863	M	5567381	902825	72938	0	46543	46	54
SRR1519826	F	3316792	578118	72938	0	31671	24	32
SRR1519810	F	2058777	381835	72938	0	52270	14	20
SRR1519809	F	4361739	702709	72938	0	64481	30	42
SRR1519836	M	8229919	1206459	72938	0	64129	68	81
SRR1519831	F	9987750	1406366	72938	0	56911	74	97
SRR1519838	M	6987973	1035276	72938	0	57721	58	69
SRR1519859	M	5090148	810766	72938	0	58821	41	50
SRR1519849	M	7055881	977672	72938	0	62283	60	69
SRR1519842	M	3500426	507894	72938	0	30516	30	35
SRR1519805	F	6380286	974319	72938	0	63008	45	62
SRR1519855	M	6624396	1009869	72938	0	59100	55	65
SRR1519822	F	3280859	587548	72938	0	30606	24	31
SRR1519823	F	4995386	777432	72938	0	46096	38	49
SRR1519854	M	2532862	387017	72938	0	54585	21	25
SRR1519839	M	4996646	788901	72938	0	51621	41	49
SRR1519862	M	8465430	1313850	72938	0	64356	69	81
SRR1519852	M	2699710	420280	72938	0	59646	22	27
SRR1519818	F	6143037	982635	72938	0	59223	45	58
SRR1519820	F	3249231	545513	72938	0	30304	24	31
SRR1519819	F	3302199	552423	72938	0	36001	24	32
SRR1519824	F	2803508	498666	72938	0	23912	21	27
SRR1519812	F	4846314	781177	72938	0	44358	36	46
