#source:radsex-freq;min_depth:5
Frequency	Count
1	190367
2	22885
3	8967
4	5115
5	3847
6	2787
7	2412
8	2086
9	2020
10	1893
11	1721
12	1510
13	1529
14	1641
15	1390
16	1314
17	1328
18	1396
19	1417
20	1220
21	1078
22	1137
23	1177
24	1165
25	1035
26	1289
27	1106
28	1199
29	1167
30	1500
31	1228
32	1139
33	1233
34	1069
35	1200
36	1146
37	1053
38	1125
39	1369
40	1379
41	1540
42	1208
43	1352
44	1213
45	1446
46	1353
47	1316
48	1220
49	1365
50	1545
51	1523
52	1442
53	1481
54	1594
55	1522
56	1696
57	2238
58	2212
59	2564
60	3985
61	31257
